defect_rate,reject_probability,accept_probability
0.0,0.0,1.0
0.001,1e-06,0.9782294672887404
0.002,4e-06,0.9569117962020655
0.003,9e-06,0.9360380061698599
0.004,1.6e-05,0.9155992859768254
0.005,2.5e-05,0.8955869907338783
0.006,3.6e-05,0.8759926389007507
0.007,4.9000000000000005e-05,0.8568079093589799
0.008,6.4e-05,0.8380246385344802
0.009000000000000001,8.100000000000002e-05,0.8196348175689091
0.01,0.0001,0.8016305895390459
0.011,0.00012099999999999999,0.7840042467234158
0.012,0.000144,0.7667482279154043
0.013000000000000001,0.00016900000000000004,0.7498551157821138
0.014,0.00019600000000000002,0.7333176342682328
0.015,0.000225,0.7171286460441916
0.016,0.000256,0.7012811499978948
0.017,0.00028900000000000003,0.6857682787693288
0.018000000000000002,0.00032400000000000007,0.670583296327353
0.019,0.000361,0.6557195955879974
0.02,0.0004,0.6411706960735924
0.021,0.00044100000000000004,0.6269302416120763
0.022,0.00048399999999999995,0.6129919980758263
0.023,0.000529,0.5993498511593771
0.024,0.000576,0.585997804195394
0.025,0.0006250000000000001,0.5729299760082821
0.026000000000000002,0.0006760000000000002,0.5601405988048189
0.027,0.0007289999999999999,0.5476240161012113
0.028,0.0007840000000000001,0.5353746806859803
0.029,0.0008410000000000001,0.523387152618095
0.03,0.0009,0.5116560972597762
0.031,0.0009609999999999999,0.5001762833434082
0.032,0.001024,0.4889425810719988
0.033,0.0010890000000000001,0.47794996025264
0.034,0.0011560000000000001,0.46719348846243
0.035,0.0012250000000000002,0.4566683292463226
0.036000000000000004,0.0012960000000000003,0.4463697403463827
0.037,0.0013689999999999998,0.43629307196193057
0.038,0.001444,0.4264337650400678
0.039,0.001521,0.41678734959608554
0.04,0.0016,0.4073494430632618
0.041,0.0016810000000000002,0.3981157486715649
0.042,0.0017640000000000002,0.38908205385478395
0.043000000000000003,0.0018490000000000004,0.38024422868561897
0.044,0.0019359999999999998,0.37159822433826684
0.045,0.002025,0.36314007157804784
0.046,0.002116,0.35486587927762603
0.047,0.002209,0.34677183295938063
0.048,0.002304,0.3388541933634955
0.049,0.0024010000000000004,0.3311092950413383
0.05,0.0025000000000000005,0.323533544973709
0.051000000000000004,0.0026010000000000004,0.3161234212135437
0.052000000000000005,0.0027040000000000007,0.3088754715526647
0.053,0.002809,0.3017863122121775
0.054,0.0029159999999999998,0.29485262655611755
0.055,0.003025,0.2880711638279592
0.056,0.0031360000000000003,0.2814387379096036
0.057,0.003249,0.2749522261024683
0.058,0.0033640000000000002,0.2686085679303088
0.059000000000000004,0.0034810000000000006,0.26240476396340573
0.06,0.0036,0.25633787466375935
0.061,0.003721,0.25040501925093794
0.062,0.0038439999999999998,0.24460337458822762
0.063,0.003969,0.2389301740887555
0.064,0.004096,0.23338270664122165
0.065,0.0042250000000000005,0.22795831555494495
0.066,0.0043560000000000005,0.22265439752385627
0.067,0.004489000000000001,0.21746840160915756
0.068,0.0046240000000000005,0.21239782824029185
0.069,0.0047610000000000005,0.2074402282339505
0.07,0.004900000000000001,0.20259320183077525
0.07100000000000001,0.005041000000000001,0.19785439774948912
0.07200000000000001,0.005184000000000001,0.1932215122581247
0.073,0.0053289999999999995,0.18869228826209264
0.074,0.005475999999999999,0.1842645144087699
0.075,0.005625,0.17993602420835464
0.076,0.005776,0.1757046951706885
0.077,0.005929,0.1715684479577839
0.078,0.006084,0.16752524555178355
0.079,0.006241,0.1635730924380881
0.08,0.0064,0.15971003380339116
0.081,0.006561,0.15593415474836556
0.082,0.006724000000000001,0.15224357951474868
0.083,0.006889000000000001,0.14863647072657848
0.084,0.007056000000000001,0.14511102864533634
0.085,0.007225000000000001,0.14166549043875665
0.08600000000000001,0.0073960000000000015,0.13829812946306658
0.08700000000000001,0.007569000000000001,0.13500725455842377
0.088,0.007743999999999999,0.1317912093573235
0.089,0.007921,0.12864837160574996
0.09,0.0081,0.1255771524968507
0.091,0.008281,0.12257599601691646
0.092,0.008464,0.11964337830345237
0.093,0.008649,0.11677780701512959
0.094,0.008836,0.1139778207134107
0.095,0.009025,0.11124198825564463
0.096,0.009216,0.10856890819943091
0.097,0.009409,0.10595720821805597
0.098,0.009604000000000001,0.10340554452680768
0.099,0.009801,0.10091260131997729
0.1,0.010000000000000002,0.09847709021836118
0.101,0.010201000000000002,0.09609774972707807
0.10200000000000001,0.010404000000000002,0.09377334470352003
0.10300000000000001,0.010609000000000002,0.09150266583525882
0.10400000000000001,0.010816000000000003,0.0892845291277323
0.105,0.011024999999999998,0.08711777540153806
0.106,0.011236,0.0850012697991645
0.107,0.011448999999999999,0.0829339013009926
0.108,0.011663999999999999,0.0809145822504041
0.109,0.011881,0.07894224788783467
0.11,0.0121,0.07701585589361327
0.111,0.012321,0.07513438593943174
0.112,0.012544000000000001,0.07329683924829086
0.113,0.012769,0.07150223816277233
0.114,0.012996,0.0697496257214878
0.115,0.013225,0.06803806524355926
0.116,0.013456000000000001,0.06636663992098747
0.117,0.013689000000000002,0.06473445241876684
0.11800000000000001,0.013924000000000002,0.0631406244826086
0.11900000000000001,0.014161000000000002,0.061584296554135484
0.12,0.0144,0.06006462739341401
0.121,0.014641,0.058580793708692507
0.122,0.014884,0.057131989793215224
0.123,0.015129,0.055717427168985166
0.124,0.015375999999999999,0.054336334237350355
0.125,0.015625,0.05298795593629036
0.126,0.015876,0.05167155340428205
0.127,0.016129,0.050386403650625564
0.128,0.016384,0.04913179923211351
0.129,0.016641,0.047907047935928364
0.13,0.016900000000000002,0.046711472468655056
0.131,0.017161000000000003,0.04554441015129763
0.132,0.017424000000000002,0.04440521262019069
0.133,0.017689000000000003,0.04329324553369845
0.134,0.017956000000000003,0.042207888284595534
0.135,0.018225,0.041148533718026264
0.136,0.018496000000000002,0.040114587854940015
0.137,0.018769000000000004,0.039105469620902854
0.138,0.019044000000000002,0.03812061058018672
0.139,0.019321000000000005,0.03715945467503948
0.14,0.019600000000000003,0.03622145797004076
0.14100000000000001,0.019881000000000003,0.03530608840145003
0.14200000000000002,0.020164000000000005,0.034412825531455096
0.14300000000000002,0.020449000000000005,0.033541160307230714
0.14400000000000002,0.020736000000000004,0.03269059482471869
0.145,0.021025,0.03186064209704216
0.146,0.021315999999999998,0.031050825827468445
0.147,0.021608999999999996,0.03026068018683638
0.148,0.021903999999999996,0.02948974959536523
0.149,0.022201,0.028737588508764053
0.15,0.0225,0.028003761208561607
0.151,0.022801,0.02728784159657826
0.152,0.023104,0.026589412993462923
0.153,0.023409,0.025908067941219148
0.154,0.023716,0.02524340800964599
0.155,0.024025,0.02459504360662054
0.156,0.024336,0.02396259379215022
0.157,0.024649,0.023345686096124328
0.158,0.024964,0.0227439563396954
0.159,0.025281,0.022157048460222373
0.16,0.0256,0.021584614339708538
0.161,0.025921000000000003,0.02102631363666855
0.162,0.026244,0.020481813621359986
0.163,0.026569000000000002,0.019950789014315913
